"日期","收市","開市","高","低","成交量","升跌（%）"
"2026-5-17","4,523.20","4,547.60","4,593.20","4,455.00","598.44K","-0.85%"
"2026-5-10","4,561.90","4,690.00","4,783.40","4,513.80","686.49K","-3.57%"
"2026-5-3","4,730.70","4,644.00","4,775.20","4,510.10","647.26K","1.86%"
"2026-4-26","4,644.50","4,692.50","4,728.30","4,522.20","344.53K","-1.69%"
"2026-4-19","4,724.40","4,813.80","4,836.00","4,657.90","6.22K","-2.85%"
"2026-4-12","4,862.90","4,698.50","4,900.00","4,628.00","7.20K","1.95%"
"2026-4-5","4,770.10","4,656.00","4,868.00","4,617.60","10.28K","1.93%"
"2026-3-29","4,679.70","4,520.00","4,825.90","4,444.70","691.34K","3.79%"
"2026-3-22","4,508.60","4,475.00","4,616.30","4,124.40","21.43K","-1.82%"
"2026-3-15","4,592.00","5,029.40","5,066.00","4,497.90","6.38K","-9.60%"
"2026-3-8","5,079.90","5,227.50","5,265.40","5,033.40","3.75K","-1.89%"
"2026-3-1","5,177.80","5,359.50","5,452.00","5,025.70","7.40K","-2.08%"
"2026-2-22","5,287.60","5,146.30","5,338.80","5,132.30","24.18K","4.44%"
"2026-2-15","5,062.80","5,040.80","5,111.90","4,840.00","6.04K","0.67%"
"2026-2-8","5,029.00","4,986.40","5,122.60","4,886.60","10.83K","1.34%"
"2026-2-1","4,962.40","4,838.50","5,095.30","4,407.80","27.09K","4.58%"
"2026-1-25","4,745.10","5,028.40","5,626.80","4,700.40","1.10M","-5.06%"
"2026-1-18","4,998.00","4,641.50","5,008.60","4,641.50","12.65K","8.37%"
"2026-1-11","4,611.80","4,543.70","4,665.80","4,543.70","8.63K","2.10%"
"2026-1-4","4,517.10","4,390.30","4,541.30","4,372.00","8.22K","4.33%"
"2025-12-28","4,329.60","4,549.80","4,557.20","4,284.30","508.38K","-4.53%"
"2025-12-21","4,534.80","4,355.50","4,564.70","4,355.30","6.63K","3.78%"
"2025-12-14","4,369.80","4,308.90","4,391.60","4,279.60","6.60K","1.32%"
"2025-12-7","4,313.00","4,228.10","4,317.30","4,197.80","884.00K","1.65%"
"2025-11-30","4,243.00","4,258.50","4,299.60","4,194.00","747.21K","0.97%"
"2025-11-23","4,202.30","4,087.30","4,209.00","4,056.00","475.48K","2.60%"
"2025-11-16","4,095.70","4,122.70","4,169.60","4,032.80","997.17K","-2.36%"
"2025-11-9","4,194.50","4,007.20","4,250.00","4,004.20","1.21M","5.10%"
"2025-11-2","3,991.00","4,001.00","4,043.10","3,935.70","822.76K","-0.62%"
"2025-10-26","4,015.90","4,066.30","4,101.60","3,890.70","1.11M","-3.13%"
"2025-10-19","4,145.60","4,269.00","4,398.00","4,021.20","1.57M","-3.69%"
"2025-10-12","4,304.60","4,018.30","4,346.70","4,011.30","1.66M","8.36%"
"2025-10-5","3,972.60","3,913.50","4,081.00","3,909.20","1.46M","2.70%"
"2025-9-28","3,868.10","3,788.80","3,923.30","3,785.50","1.11M","2.97%"
"2025-9-21","3,756.50","3,707.50","3,808.00","3,705.00","1.00M","2.13%"
"2025-9-14","3,678.30","3,680.20","3,744.00","3,660.50","859.42K","0.13%"
"2025-9-7","3,673.60","3,635.00","3,715.20","3,621.70","813.86K","1.85%"
"2025-8-31","3,606.70","3,517.65","3,640.10","3,506.00","1.07M","3.81%"
"2025-8-24","3,474.30","3,399.70","3,478.70","3,395.00","675.25K","2.74%"
